State,City,Locality,Property_Type,BHK,Size_in_SqFt,Furnished_Status,Floor_No,Total_Floors,Security,Amenities,Facing,Owner_Type,Availability_Status,Year_Built,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Price_in_Lakhs,Price_per_SqFt,Age_of_Property,School_Density_Score,Future_Price_5Y,Good_Investment
1,0,41,0,-0.6902951103933608,1.5501463663483515,0,-0.18484943728653713,-0.594136095157908,1,2,2,2,0,1996,0.1725259534107832,0.650481741791944,1.1243106746706277,-1.3768774944499398,990.6230503956828,-0.2391833273087049,1.1029069563873206,0.17252595341078328,1455.5502614716386,1
4,3,27,2,0.020250551359970066,-0.6273118985067965,2,-0.00041497753444222926,-0.6901193092383455,1,0,4,1,1,1999,-0.17849328038531673,-0.7544464262252134,0.7345340497198121,0.43778806660434655,325.8340801331051,-0.8587166705552313,0.8006854666940468,-0.17849328038531678,478.75716231787254,1
0,1,2,0,-0.6902951103933608,1.5400475588409963,2,-0.2770666671625846,-0.6901193092383455,1,1,4,1,0,2004,-1.2315509817736165,1.3529458258005227,-0.04501920018181918,-0.4695447139227967,835.9324812587948,-0.7090743836377174,0.2969829838719238,-1.2315509817736165,1228.2590650226375,1
4,5,29,2,-0.6902951103933608,1.0452059909805862,2,1.5672779303583644,1.4215114005312797,0,2,1,0,0,2000,-1.5825702155697163,-1.456910510233792,-0.8245724500834505,1.3451208471314897,1111.831371164501,0.6750684209954018,0.6999449701296222,-1.5825702155697163,1633.6450503190438,0
4,2,8,2,-0.6902951103933608,-0.1371313187267043,1,1.659495160234412,1.0375785442095298,1,0,0,1,1,2012,1.225583654799083,1.3529458258005227,-0.8245724500834505,-0.4695447139227967,392.6723147237753,-1.0713769920764271,-0.508940988643473,1.2255836547990828,576.9644570056893,1
2,2,28,3,0.7307962131133009,-0.008954146517963873,0,-0.4615011269146795,-1.553968235962283,0,1,4,2,0,2002,-0.8805317479775165,0.650481741791944,0.34475742476899646,1.3451208471314897,984.3537700541286,1.9443911976044361,0.498463977000773,-0.8805317479775167,1446.3386318444627,0
0,3,9,2,0.020250551359970066,1.174936825882766,1,-1.1992389659230591,-1.9379010922840332,0,1,3,1,1,2016,0.5235451872068831,0.650481741791944,-0.4347958251326348,-1.3768774944499398,1045.2285706226323,0.2920788703345367,-0.9119029749011716,0.523545187206883,1535.783685489366,0
0,2,34,0,-0.6902951103933608,-1.1291449484876832,1,-0.5537183567907269,-1.553968235962283,0,0,3,1,1,2006,1.225583654799083,1.3529458258005227,-0.8245724500834505,0.43778806660434655,215.0651735002252,-0.9017263317852494,0.09550199074307457,1.2255836547990828,316.0012977657443,1
0,3,14,0,-0.6902951103933608,0.8968312037571352,2,-1.7525423451793438,-1.362001807801408,1,0,3,0,0,2002,1.225583654799083,-0.05198234221663471,-0.4347958251326348,-1.3768774944499398,613.9205126465762,-0.9956607349014295,0.498463977000773,1.2255836547990828,902.0506461550642,1
4,0,16,1,-0.6902951103933608,1.4561497733952753,1,1.659495160234412,1.4215114005312797,1,1,2,0,1,2001,1.5766028885951828,-0.7544464262252134,-0.8245724500834505,-0.4695447139227967,1132.9517478671762,0.29050934285059155,0.5992044735651976,1.5766028885951828,1664.677812800877,0
1,5,10,0,-1.4008407721466916,1.5043133168918927,2,-1.568107885427249,-2.609783590847096,1,2,2,2,1,2018,0.1725259534107832,-1.456910510233792,0.34475742476899646,0.43778806660434655,852.5501901502372,-0.6319747452664174,-1.1133839680300208,0.17252595341078328,1252.6759312689228,0
0,6,30,1,0.7307962131133009,-1.149342563502394,0,1.5672779303583644,1.2295449723704046,1,0,4,0,1,2010,0.874564421002983,-1.456910510233792,0.7345340497198121,0.43778806660434655,225.8896847909745,-0.7309927548500617,-0.3074599955146239,0.874564421002983,331.9060561228809,1
5,1,32,2,-1.4008407721466916,-1.1633255277433474,1,1.0139745511020797,0.5576624738073421,1,0,4,2,1,2009,1.225583654799083,-1.456910510233792,-0.4347958251326348,-0.4695447139227967,185.5012379933366,-1.159530531228514,-0.20671949895019925,1.2255836547990828,272.5621772647684,0
4,6,13,0,0.7307962131133009,0.4454921913130249,1,-0.6459355866667744,-1.6499514500427206,1,2,4,2,1,2009,-0.8805317479775165,-1.456910510233792,-0.8245724500834505,1.3451208471314897,783.2262162020594,0.14640899412718206,-0.20671949895019925,-0.8805317479775167,1150.8162699515133,0
2,0,48,2,-0.6902951103933608,0.47811910787524975,1,-0.18484943728653713,-1.170035379640533,0,2,2,0,0,2020,0.1725259534107832,0.650481741791944,-0.8245724500834505,0.43778806660434655,623.2682361977509,-0.5899962015157572,-1.3148649611588699,0.17252595341078328,915.7855188229697,1
1,1,20,0,0.020250551359970066,-0.29793540749766956,2,-0.2770666671625846,1.3255281864508421,1,0,4,1,0,1997,-0.17849328038531673,-0.7544464262252134,-0.8245724500834505,1.3451208471314897,352.7368949282724,-1.1246984743677801,1.002166459822896,-0.17849328038531678,518.2862234413624,1
5,2,44,0,1.4413418748666318,0.7997272854171803,2,-0.2770666671625846,-1.4579850218818455,0,2,1,0,1,2013,0.5235451872068831,1.3529458258005227,1.5140872996214434,1.3451208471314897,869.5176457748363,0.0678554704273422,-0.6096814852078977,0.523545187206883,1277.6066902100044,0
5,4,8,1,1.4413418748666318,0.48588742134244617,1,-0.8303700464188692,-1.7459346641231581,0,1,0,1,1,2000,0.5235451872068831,1.3529458258005227,-0.8245724500834505,1.3451208471314897,1356.781755945474,2.5742990742156775,0.6999449701296222,0.523545187206883,1993.5575281006911,0
2,0,30,2,-0.6902951103933608,1.1197818002656716,1,-0.00041497753444222926,-0.7861025233187829,1,1,3,1,0,2022,1.225583654799083,-0.05198234221663471,-0.8245724500834505,0.43778806660434655,1072.7448021885575,0.4484106517817172,-1.5163459542877191,1.2255836547990828,1576.2140570969102,0
1,0,29,0,-1.4008407721466916,0.00347515502955035,0,-0.9225872762949168,-0.6901193092383455,1,1,3,2,1,2004,-1.5825702155697163,1.3529458258005227,1.1243106746706277,-1.3768774944499398,111.45842339297988,-2.703740686822319,0.2969829838719238,-1.5825702155697163,163.76899088716732,0
4,5,10,3,0.020250551359970066,-0.6032301267584876,0,0.8295400913499849,-0.01823681067528291,1,0,1,2,1,1993,0.1725259534107832,-0.7544464262252134,-0.4347958251326348,0.43778806660434655,413.3687306007177,-0.25251866972827175,1.4051284460805944,0.17252595341078328,607.3742819428101,1
3,6,19,2,0.7307962131133009,-1.1143851529000102,0,1.290626240730222,0.9415953301290921,1,2,4,0,1,1990,-0.17849328038531673,1.3529458258005227,0.7345340497198121,-1.3768774944499398,315.9924696132934,0.17090515567380815,1.7073499357738684,-0.17849328038531678,464.296607660183,0
1,0,27,2,-0.6902951103933608,-0.40125397661138157,0,-0.2770666671625846,0.2697128315660296,1,1,2,1,0,2021,-0.5295125141814166,0.650481741791944,-0.8245724500834505,0.43778806660434655,569.55135485064,0.4144009292835192,-1.4156054577232946,-0.5295125141814166,836.8577968615256,0
2,0,2,2,0.020250551359970066,1.0599657865682592,0,-0.6459355866667744,-0.21020323883615794,0,2,4,0,1,2000,1.5766028885951828,1.3529458258005227,1.1243106746706277,-1.3768774944499398,1024.132713332638,0.3452724068111358,0.6999449701296222,1.5766028885951828,1504.7869500690115,0
5,2,39,1,0.020250551359970066,-1.620102359614495,2,1.7517123901104594,1.1335617582899673,0,1,4,2,0,2019,-1.5825702155697163,-1.456910510233792,-0.8245724500834505,-1.3768774944499398,187.3540640265761,0.6957196759664463,-1.2141244645944453,-1.5825702155697163,275.28458657683325,0
4,2,41,3,0.7307962131133009,-1.4616287648836888,0,0.6451056315978899,0.0777464034051546,0,1,3,1,1,2008,-0.5295125141814166,-1.456910510233792,-0.04501920018181918,0.43778806660434655,268.0682033255557,1.1133083467539586,-0.10597900238577465,-0.5295125141814166,393.88013764357027,0
1,1,3,2,0.020250551359970066,1.592095259071212,0,0.5528884017218425,-0.49815288107747047,0,1,3,0,1,2023,1.5766028885951828,-1.456910510233792,-1.6041256999850817,1.3451208471314897,866.8419958432346,-0.6507212130556607,-1.6170864508521439,1.5766028885951828,1273.675282641814,1
3,3,13,0,-1.4008407721466916,-1.0903033811517013,1,0.7373228614739374,0.2697128315660296,0,1,2,0,0,1996,0.5235451872068831,-1.456910510233792,-0.04501920018181918,1.3451208471314897,257.7307598398802,-0.5316300453713888,1.1029069563873206,0.523545187206883,378.69104168773396,0
3,3,2,0,-1.4008407721466916,0.2675978129142276,2,-0.6459355866667744,-0.49815288107747047,0,1,3,2,0,2009,-0.5295125141814166,0.650481741791944,0.34475742476899646,-1.3768774944499398,632.1456101127521,-0.313407358661514,-0.20671949895019925,-0.5295125141814166,928.829293564533,0
0,4,32,1,-1.4008407721466916,1.5990867411916887,0,-0.7381528165428218,-0.01823681067528291,0,1,4,2,1,2001,-1.5825702155697163,0.650481741791944,0.7345340497198121,-0.4695447139227967,1616.3795144546325,1.6251709893204218,0.5992044735651976,-1.5825702155697163,2374.9918033525437,0
0,3,20,0,0.020250551359970066,-1.6993391569798983,0,0.7373228614739374,0.1737296174855921,1,1,1,2,1,2021,1.5766028885951828,0.650481741791944,-1.214349075034266,-0.4695447139227967,111.09277387095614,-0.5184043736732231,-1.4156054577232946,1.5766028885951828,163.23173177818933,1
2,5,44,2,-1.4008407721466916,0.0019214923361110723,0,-1.6603251153032963,-1.362001807801408,1,1,2,2,1,1991,-1.5825702155697163,1.3529458258005227,-1.214349075034266,0.43778806660434655,704.7927664436288,0.4379402539787859,1.6066094392094437,-1.5825702155697163,1035.5718000611691,0
1,4,8,0,0.7307962131133009,-1.4142420527337907,1,1.5672779303583644,0.8456121160486547,1,1,1,0,0,2011,-1.5825702155697163,-1.456910510233792,1.5140872996214434,0.43778806660434655,379.3202089804031,2.5442793186384107,-0.40820049207904846,-1.5825702155697163,557.34583315255,0
1,1,12,2,0.020250551359970066,0.002698323682830711,1,1.290626240730222,0.3656960456464671,0,1,4,2,1,2013,1.5766028885951828,-0.05198234221663471,-1.6041256999850817,0.43778806660434655,552.393607465756,-0.36995000425954616,-0.6096814852078977,1.5766028885951828,811.6474368942736,1
5,2,35,0,1.4413418748666318,1.6876455147177276,1,0.27623671209370015,0.5576624738073421,0,1,2,2,0,2020,-0.17849328038531673,-0.05198234221663471,-1.214349075034266,-0.4695447139227967,1776.047442204354,1.9865428259623783,-1.3148649611588699,-0.17849328038531678,2609.5963725596835,0
5,3,40,3,0.020250551359970066,-0.9885384747314286,0,0.8295400913499849,1.2295449723704046,0,2,1,0,1,1993,0.5235451872068831,-1.456910510233792,-1.214349075034266,1.3451208471314897,245.57237593947147,-0.8911214867696428,1.4051284460805944,0.523545187206883,360.82638685435035,1
5,6,3,1,0.7307962131133009,-1.5012471635663902,1,1.3828434706062696,1.5174946146117172,1,2,2,0,1,2013,1.225583654799083,-0.7544464262252134,0.7345340497198121,0.43778806660434655,160.00033805376182,-0.5042604497655524,-0.6096814852078977,1.2255836547990828,235.0929889998838,1
0,2,46,1,1.4413418748666318,0.3375126341189951,0,-0.8303700464188692,-0.594136095157908,1,0,4,1,1,2006,0.874564421002983,1.3529458258005227,0.34475742476899646,0.43778806660434655,609.2106208790135,-0.5020200702454353,0.09550199074307457,0.874564421002983,895.1302699422952,1
1,5,8,3,0.020250551359970066,0.144081628785805,2,1.1984090108541747,0.2697128315660296,1,1,2,0,1,2008,-1.2315509817736165,-0.05198234221663471,1.5140872996214434,1.3451208471314897,753.8253249899078,0.45096031110431234,-0.10597900238577465,-1.2315509817736165,1107.6167150105566,0
1,2,10,3,-1.4008407721466916,-0.901533363898829,0,-0.00041497753444222926,-2.0338843063644707,0,2,4,1,1,2023,1.225583654799083,0.650481741791944,0.7345340497198121,-1.3768774944499398,362.8787536170471,0.010387312746078518,-1.6170864508521439,1.2255836547990828,533.187941163717,0
3,5,18,1,-0.6902951103933608,-1.2829575551381718,1,-1.0148045061709643,1.2295449723704046,0,2,2,2,1,2022,-0.5295125141814166,-0.7544464262252134,-0.8245724500834505,0.43778806660434655,258.1159729467417,0.0822255610117846,-1.5163459542877191,-0.5295125141814166,379.25704612119694,0
0,5,42,3,-0.6902951103933608,1.633267320447353,2,-0.5537183567907269,-0.6901193092383455,0,2,2,1,1,1995,1.5766028885951828,0.650481741791944,-0.8245724500834505,-0.4695447139227967,1152.3924188399685,0.18165353103169182,1.2036474529517454,1.5766028885951828,1693.2425364930316,0
4,5,38,2,-1.4008407721466916,-0.2311279116797806,0,-1.0148045061709643,-1.170035379640533,1,2,3,1,0,2002,-0.17849328038531673,-0.7544464262252134,-1.6041256999850817,-0.4695447139227967,496.8045700863679,-0.3449016937244329,0.498463977000773,-0.17849328038531678,729.9689035104541,0
0,1,38,0,-0.6902951103933608,1.334187251960292,2,1.7517123901104594,1.1335617582899673,0,2,4,2,1,1998,-0.17849328038531673,-0.7544464262252134,1.1243106746706277,0.43778806660434655,608.4155881494742,-1.3015401258525627,0.9014259632584715,-0.17849328038531678,893.9621060308081,1
4,5,25,1,-0.6902951103933608,-0.46495414704239196,2,-1.568107885427249,1.4215114005312797,1,2,0,2,1,2024,-0.5295125141814166,1.3529458258005227,-1.6041256999850817,-0.4695447139227967,491.68906545912864,0.028025947815560934,-1.7178269474165684,-0.5295125141814166,722.4525489346511,0
3,5,46,3,-1.4008407721466916,-1.5960205878661862,2,0.8295400913499849,1.5174946146117172,1,0,2,2,1,2023,0.1725259534107832,0.650481741791944,-1.214349075034266,1.3451208471314897,113.2952135278307,-0.984707916720874,-1.6170864508521439,0.17252595341078328,166.46783820349287,0
2,6,29,2,-1.4008407721466916,-1.1912914562252543,0,-0.09263220741048968,-0.8820857373992205,1,2,1,1,1,2005,-1.5825702155697163,0.650481741791944,0.7345340497198121,-1.3768774944499398,223.4859281198485,-0.6481251210804586,0.19624248730749919,-1.5825702155697163,328.37414895620014,0
1,4,31,1,0.020250551359970066,-1.409581064653473,1,1.475060700482317,0.3656960456464671,1,1,3,0,0,2007,-1.2315509817736165,-0.05198234221663471,-1.6041256999850817,-1.3768774944499398,268.9399976915489,0.8197290328157932,-0.005238505821350039,-1.2315509817736165,395.16108958272014,0
3,0,2,3,0.020250551359970066,-0.5504055951815522,0,1.1061917809781272,0.7496289019682172,1,0,3,0,0,2007,-0.5295125141814166,-1.456910510233792,-0.4347958251326348,0.43778806660434655,434.9545788343368,-0.19893745685953793,-0.005238505821350039,-0.5295125141814166,639.0909748140103,1
1,4,26,1,-1.4008407721466916,0.8315773706326854,1,-1.1992389659230591,-2.2258507345253458,1,1,2,0,1,2021,-0.5295125141814166,-1.456910510233792,1.5140872996214434,0.43778806660434655,1155.4810068006889,1.1256881620837216,-1.4156054577232946,-0.5295125141814166,1697.7806855013846,0
5,5,16,3,0.7307962131133009,-0.4198979289326529,0,0.7373228614739374,-0.30618645291659546,1,1,0,2,1,1996,0.874564421002983,-0.05198234221663471,1.1243106746706277,-1.3768774944499398,789.8019470513157,1.9034299497774558,1.1029069563873206,0.874564421002983,1160.4781759138054,0
2,6,15,1,-0.6902951103933608,1.3691446625626758,0,-0.18484943728653713,-1.2660185937209705,0,1,3,2,0,2012,1.225583654799083,-0.7544464262252134,1.1243106746706277,-1.3768774944499398,1156.16403833703,0.45418281108990943,-0.508940988643473,1.2255836547990828,1698.7842829150704,0
2,2,6,2,0.020250551359970066,1.3007835040513474,0,-1.383673425675154,0.0777464034051546,1,2,4,0,0,2012,-0.5295125141814166,-0.05198234221663471,-0.8245724500834505,0.43778806660434655,1057.6494196073595,0.20263739176534062,-0.508940988643473,-0.5295125141814166,1554.0339876403184,0
3,6,19,2,-0.6902951103933608,0.00347515502955035,1,0.27623671209370015,1.6134778286921547,0,1,2,2,0,2007,0.1725259534107832,-0.05198234221663471,-0.04501920018181918,-0.4695447139227967,265.3618526937819,-1.8895244135847062,-0.005238505821350039,0.17252595341078328,389.90362067463957,1
2,5,2,0,1.4413418748666318,-0.7150938406861157,0,0.18401948221765269,-0.40216966699703294,1,2,2,1,1,1996,-0.5295125141814166,0.650481741791944,-0.4347958251326348,0.43778806660434655,562.1587152705516,1.162885642458173,1.1029069563873206,-0.5295125141814166,825.9955839648387,0
4,6,45,1,-1.4008407721466916,-0.9807701612642322,2,0.5528884017218425,0.7496289019682172,1,2,0,1,0,2013,-0.5295125141814166,-0.05198234221663471,1.1243106746706277,1.3451208471314897,259.7820460547604,-0.7689023135392347,-0.6096814852078977,-0.5295125141814166,381.70505411681023,0
2,3,8,0,0.7307962131133009,-0.11227271563167586,0,-0.7381528165428218,-0.49815288107747047,1,1,4,2,0,2003,1.225583654799083,-0.7544464262252134,0.7345340497198121,0.43778806660434655,642.1088873051285,0.2959411499603912,0.3977234804363484,1.2255836547990828,943.4686164802328,0
1,6,5,1,1.4413418748666318,0.3041088862100506,2,-0.00041497753444222926,-1.2660185937209705,0,1,4,0,1,1994,-0.5295125141814166,-1.456910510233792,0.7345340497198121,0.43778806660434655,913.765827712326,0.9502715489028405,1.3043879495161699,-0.5295125141814166,1342.6217862781125,0
1,5,19,3,1.4413418748666318,-0.9496969073954467,1,-1.7525423451793438,1.5174946146117172,1,0,0,0,1,2011,0.1725259534107832,1.3529458258005227,0.7345340497198121,0.43778806660434655,406.6598409455778,0.5567021272114356,-0.40820049207904846,0.17252595341078328,597.5167220083599,0
1,1,9,3,1.4413418748666318,0.00347515502955035,1,-1.568107885427249,-2.417817162686221,1,0,1,1,1,2011,1.225583654799083,-0.05198234221663471,-1.6041256999850817,0.43778806660434655,419.7468432939036,-1.0727604710180294,-0.40820049207904846,1.2255836547990828,616.7458219999027,1
1,3,20,0,-1.4008407721466916,1.6946369968382045,0,0.6451056315978899,0.3656960456464671,0,2,4,2,0,1999,-0.8805317479775165,-0.05198234221663471,0.7345340497198121,0.43778806660434655,691.9852469041552,-1.2399607455086639,0.8006854666940468,-0.8805317479775167,1016.753352007656,0
4,6,41,1,0.020250551359970066,0.4602519869006981,0,-0.18484943728653713,-0.7861025233187829,0,2,1,0,0,2015,0.5235451872068831,0.650481741791944,-0.4347958251326348,0.43778806660434655,692.6935162098847,-0.2683541956629053,-0.8111624783367469,0.523545187206883,1017.7940319845,1
