State,City,Locality,Property_Type,BHK,Size_in_SqFt,Furnished_Status,Floor_No,Total_Floors,Security,Amenities,Facing,Owner_Type,Availability_Status,Year_Built,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Price_in_Lakhs
Haryana,Bangalore,Locality_47,Apartment,2,4772.0,Fully Furnished,18.0,26,Yes,Premium,North-East,Owner,Ready to Move,1996,5,3,8,0,990.6230503956828
Tamil Nadu,Hyderabad,Locality_34,Independent House,3,1969.0,Unfurnished,,25,Yes,Basic,West,Builder,Under Construction,1999,4,1,7,2,325.8340801331051
Delhi,Chennai,Locality_11,Apartment,2,4759.0,Unfurnished,17.0,25,Yes,Luxury,West,Builder,Ready to Move,2004,1,4,5,1,835.9324812587948
Tamil Nadu,New Delhi,Locality_36,Independent House,2,4122.0,Unfurnished,37.0,47,No,Premium,North,Agent,Ready to Move,2000,0,0,3,3,1111.831371164501
Tamil Nadu,Gurgaon,Locality_17,Independent House,2,2600.0,Semi-Furnished,38.0,43,Yes,Basic,East,Builder,Under Construction,2012,8,4,3,1,392.6723147237753
Karnataka,Gurgaon,Locality_35,Villa,4,2765.0,Fully Furnished,15.0,16,No,Luxury,West,Owner,Ready to Move,2002,2,3,6,3,984.3537700541286
Delhi,Hyderabad,Locality_18,Independent House,3,4289.0,Semi-Furnished,7.0,12,No,Luxury,South,Builder,Under Construction,2016,6,3,4,0,1045.2285706226323
Delhi,Gurgaon,Locality_40,Apartment,2,1323.0,Semi-Furnished,14.0,16,No,Basic,South,Builder,Under Construction,2006,8,4,3,2,215.06517350022517
Delhi,Hyderabad,Locality_22,Apartment,2,3931.0,Unfurnished,1.0,18,Yes,Basic,South,Agent,Ready to Move,2002,8,2,4,0,613.9205126465762
Tamil Nadu,Bangalore,Locality_24,Builder Floor,2,4651.0,Semi-Furnished,38.0,47,Yes,Luxury,North-East,Agent,Under Construction,2001,9,1,3,1,1132.9517478671762
Haryana,New Delhi,Locality_19,Apartment,1,4713.0,Unfurnished,3.0,5,Yes,Premium,North-East,Owner,Under Construction,2018,5,0,6,2,852.5501901502372
Delhi,Pune,Locality_37,Builder Floor,4,1297.0,Fully Furnished,37.0,45,Yes,Basic,West,Agent,Under Construction,2010,7,0,7,2,225.8896847909745
Telangana,Chennai,Locality_39,Independent House,1,1279.0,Semi-Furnished,31.0,38,Yes,Basic,West,Owner,Under Construction,2009,8,0,4,1,185.5012379933366
Tamil Nadu,Pune,Locality_21,Apartment,4,3350.0,Semi-Furnished,13.0,15,Yes,Premium,West,Owner,Under Construction,2009,2,0,3,3,783.2262162020594
Karnataka,Bangalore,Locality_8,Independent House,2,3392.0,Semi-Furnished,18.0,20,No,Premium,North-East,Agent,Ready to Move,2020,5,3,3,2,623.2682361977509
Haryana,Chennai,Locality_28,Apartment,3,2393.0,Unfurnished,17.0,46,Yes,Basic,West,Builder,Ready to Move,1997,4,1,3,3,352.7368949282724
Telangana,Gurgaon,Locality_5,Apartment,5,3806.0,Unfurnished,17.0,17,No,Premium,North,Agent,Under Construction,2013,6,4,9,3,869.5176457748363
Telangana,Mumbai,Locality_17,Builder Floor,5,3402.0,Semi-Furnished,11.0,14,No,Luxury,East,Builder,Under Construction,2000,6,4,3,3,1356.781755945474
Karnataka,Bangalore,Locality_37,Independent House,2,4218.0,Semi-Furnished,20.0,24,Yes,Luxury,South,Builder,Ready to Move,2022,8,2,3,2,1072.7448021885575
Haryana,Bangalore,Locality_36,Apartment,1,,Fully Furnished,10.0,25,Yes,Luxury,South,Owner,Under Construction,2004,0,4,8,0,111.45842339297987
Tamil Nadu,New Delhi,Locality_19,Villa,3,2000.0,Fully Furnished,29.0,32,Yes,Basic,North,Owner,Under Construction,1993,5,1,4,2,413.3687306007177
Maharashtra,Pune,Locality_27,Independent House,4,1342.0,Fully Furnished,34.0,42,Yes,Premium,West,Agent,Under Construction,1990,4,4,7,0,315.9924696132934
Haryana,Bangalore,Locality_34,Independent House,2,2260.0,Fully Furnished,17.0,35,Yes,Luxury,North-East,Builder,Ready to Move,2021,3,3,3,2,569.55135485064
Karnataka,Bangalore,Locality_11,Independent House,3,4141.0,Fully Furnished,13.0,30,,Premium,West,Agent,Under Construction,2000,9,4,8,0,1024.132713332638
Telangana,Gurgaon,Locality_45,Builder Floor,3,691.0,Unfurnished,39.0,44,No,Luxury,West,Owner,Ready to Move,2019,0,0,3,0,187.35406402657614
Tamil Nadu,Gurgaon,Locality_47,Villa,4,895.0,Fully Furnished,27.0,33,No,,South,Builder,Under Construction,2008,3,0,5,2,268.0682033255557
Haryana,Chennai,Locality_12,Independent House,3,4826.0,Fully Furnished,26.0,27,No,Luxury,South,Agent,Under Construction,2023,9,0,1,3,866.8419958432346
Maharashtra,Hyderabad,Locality_21,Apartment,1,1373.0,Semi-Furnished,28.0,35,No,Luxury,North-East,Agent,Ready to Move,1996,6,0,5,3,257.7307598398802
Maharashtra,Hyderabad,Locality_11,Apartment,1,3121.0,Unfurnished,13.0,27,No,Luxury,South,Owner,Ready to Move,2009,3,3,6,0,632.1456101127521
Delhi,Mumbai,Locality_39,Builder Floor,1,4835.0,Fully Furnished,12.0,32,No,,West,Owner,Under Construction,2001,0,3,7,1,1616.3795144546325
Delhi,Hyderabad,Locality_28,Apartment,3,589.0,Fully Furnished,28.0,34,Yes,Luxury,North,Owner,Under Construction,2021,9,3,2,1,111.09277387095614
Karnataka,New Delhi,Locality_5,Independent House,1,2779.0,Fully Furnished,2.0,18,Yes,Luxury,North-East,Owner,Under Construction,1991,0,4,2,2,704.7927664436288
Haryana,Mumbai,Locality_17,Apartment,4,956.0,Semi-Furnished,37.0,41,Yes,Luxury,North,Agent,Ready to Move,2011,0,0,9,2,379.3202089804031
Haryana,Chennai,Locality_20,Independent House,3,2780.0,Semi-Furnished,34.0,36,No,Luxury,West,Owner,Under Construction,2013,9,2,1,2,552.393607465756
Telangana,Gurgaon,Locality_41,Apartment,5,4949.0,Semi-Furnished,23.0,38,No,Luxury,North-East,Owner,Ready to Move,2020,4,2,2,1,1776.047442204354
Telangana,Hyderabad,Locality_46,Villa,3,1504.0,Fully Furnished,29.0,45,No,Premium,North,Agent,Under Construction,1993,6,0,2,3,245.57237593947147
Telangana,Pune,Locality_12,Builder Floor,4,844.0,Semi-Furnished,35.0,48,Yes,Premium,North-East,Agent,Under Construction,2013,8,1,7,2,160.00033805376182
Delhi,Gurgaon,Locality_6,Builder Floor,5,3211.0,Fully Furnished,11.0,26,Yes,Basic,West,Builder,Under Construction,2006,7,4,6,2,609.2106208790135
Haryana,New Delhi,Locality_17,Villa,3,2962.0,Unfurnished,33.0,35,Yes,Luxury,North-East,Agent,Under Construction,2008,1,2,9,3,753.8253249899078
Haryana,Gurgaon,Locality_19,Villa,1,1616.0,Fully Furnished,,11,No,Premium,West,Builder,Under Construction,2023,8,3,7,0,362.8787536170471
Maharashtra,New Delhi,Locality_26,Builder Floor,2,1125.0,Semi-Furnished,9.0,45,No,Premium,North-East,Owner,Under Construction,2022,3,1,3,2,258.11597294674175
Delhi,New Delhi,Locality_48,Villa,2,4879.0,Unfurnished,14.0,25,,Premium,North-East,Builder,Under Construction,1995,9,3,3,1,1152.3924188399685
Tamil Nadu,New Delhi,Locality_44,Independent House,1,2479.0,Fully Furnished,9.0,20,Yes,Premium,South,Builder,Ready to Move,2002,4,1,1,1,496.8045700863679
Delhi,Chennai,Locality_44,Apartment,2,4494.0,Unfurnished,39.0,44,No,Premium,West,Owner,Under Construction,1998,4,1,8,2,608.4155881494742
Tamil Nadu,New Delhi,Locality_32,Builder Floor,2,2178.0,Unfurnished,3.0,47,Yes,Premium,East,Owner,Under Construction,2024,3,4,1,1,491.68906545912864
Maharashtra,New Delhi,Locality_6,Villa,1,722.0,Unfurnished,29.0,48,Yes,Basic,North-East,Owner,Under Construction,2023,5,3,2,3,113.2952135278307
Karnataka,Pune,Locality_36,Independent House,1,1243.0,Fully Furnished,19.0,23,Yes,Premium,North,Builder,Under Construction,2005,0,3,7,0,223.4859281198485
Haryana,Mumbai,Locality_38,Builder Floor,3,962.0,Semi-Furnished,36.0,36,Yes,,South,Agent,Ready to Move,2007,1,2,1,0,268.9399976915489
